in_dtype,acc_dtype,out_dtype,sf_dtype,sf_vec_size,a_major,b_major,c_major,mma_m,mma_n,cta_m,cta_n,cluster_m,cluster_n,m,n,k,runtime_us
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,4096,8192,7168,596.5888023376465
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,4096,8192,7168,552.345609664917
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,4096,8192,7168,374.16319847106934
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,4096,8192,7168,386.6431951522827
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,4096,8192,7168,353.2799959182739
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,4096,8192,7168,383.99999141693115
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,4096,8192,7168,331.1552047729492
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,4096,8192,7168,370.8928108215332
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,4096,7168,8192,768.4224128723145
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,4096,7168,8192,697.9584217071533
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,4096,7168,8192,496.230411529541
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,4096,7168,8192,471.65441513061523
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,4096,7168,8192,428.4416198730469
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,4096,7168,8192,437.65759468078613
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,4096,7168,8192,392.5951957702637
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,4096,7168,8192,408.57601165771484
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,4096,7168,8192,629.5551776885986
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,4096,7168,8192,555.2127838134766
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,4096,7168,8192,397.5167989730835
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,4096,7168,8192,390.1439905166626
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,4096,7168,8192,365.5679941177368
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,4096,7168,8192,398.74560832977295
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,4096,7168,8192,373.9648103713989
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,4096,7168,8192,370.4832077026367
